,name,rating,genre,gross,release_year
35,The Campaign,R,Comedy,86.91,2012
36,The Expendables 2,R,"Action, Adventure, Thriller",85.02,2012
37,Wrath of the Titans,PG-13,"Action, Adventure, Fantasy",83.67,2012
38,Jack Reacher,PG-13,"Action, Crime, Thriller",80.07,2012
39,Dark Shadows,PG-13,"Comedy, Fantasy, Horror",79.73,2012
40,Parental Guidance,PG,"Comedy, Family",77.27,2012
41,John Carter,PG-13,"Action, Adventure, Sci-Fi",73.08,2012
42,Act of Valor,R,"Action, Adventure, Drama",70.01,2012
43,This Is 40,R,"Comedy, Romance",67.54,2012
44,Contraband,R,"Action, Crime, Drama",66.53,2012
45,Looper,R,"Action, Crime, Drama",66.49,2012
46,Madea's Witness Protection,PG-13,"Comedy, Crime, Drama",65.65,2012
47,Battleship,PG-13,"Action, Adventure, Sci-Fi",65.42,2012
48,Pitch Perfect,PG-13,"Comedy, Music, Romance",65.0,2012
49,Mirror Mirror,PG,"Adventure, Comedy, Drama",64.94,2012
50,Chronicle,PG-13,"Drama, Sci-Fi, Thriller",64.58,2012
1,The Hunger Games: Catching Fire,PG-13,"Action, Adventure, Sci-Fi",424.67,2013
2,Iron Man Three,PG-13,"Action, Adventure, Sci-Fi",409.01,2013
3,Frozen,PG,"Animation, Adventure, Comedy",400.74,2013
4,Despicable Me 2,PG,"Animation, Adventure, Comedy",368.06,2013
5,Man of Steel,PG-13,"Action, Adventure, Sci-Fi",291.05,2013
6,Gravity,PG-13,"Drama, Sci-Fi, Thriller",274.09,2013
7,Monsters University,G,"Animation, Adventure, Comedy",268.49,2013
8,The Hobbit: The Desolation of Smaug,PG-13,"Adventure, Fantasy",258.37,2013
9,Furious 6,PG-13,"Action, Adventure, Thriller",238.68,2013
10,Oz the Great and Powerful,PG,"Adventure, Family, Fantasy",234.91,2013
11,Star Trek Into Darkness,PG-13,"Action, Adventure, Sci-Fi",228.78,2013
12,Thor: The Dark World,PG-13,"Action, Adventure, Fantasy",206.36,2013
13,World War Z,PG-13,"Action, Adventure, Horror",202.36,2013
14,The Croods,PG,"Animation, Action, Adventure",187.17,2013
15,The Heat,R,"Action, Comedy, Crime",159.58,2013
16,We're the Millers,R,"Comedy, Crime",150.39,2013
17,American Hustle,R,"Crime, Drama",150.12,2013
18,The Great Gatsby,PG-13,"Drama, Romance",144.84,2013
19,The Conjuring,R,"Horror, Mystery, Thriller",137.4,2013
20,Identity Thief,R,"Comedy, Crime, Drama",134.51,2013
21,Grown Ups 2,PG-13,Comedy,133.67,2013
22,The Wolverine,PG-13,"Action, Adventure, Sci-Fi",132.56,2013
23,Anchorman 2: The Legend Continues,PG-13,Comedy,127.35,2013
24,Lone Survivor,R,"Action, Biography, Drama",125.1,2013
25,G.I. Joe: Retaliation,PG-13,"Action, Adventure, Sci-Fi",122.52,2013
26,Cloudy with a Chance of Meatballs 2,PG,"Animation, Adventure, Comedy",119.79,2013
27,Now You See Me,PG-13,"Crime, Mystery, Thriller",117.72,2013
28,The Wolf of Wall Street,R,"Biography, Crime, Drama",116.9,2013
29,The Butler,PG-13,"Biography, Drama",116.63,2013
30,The Hangover Part III,R,Comedy,112.2,2013
31,Epic,PG,"Animation, Adventure, Family",107.52,2013
32,Captain Phillips,PG-13,"Biography, Drama, Thriller",107.1,2013
33,Bad Grandpa,R,Comedy,102.0,2013
34,Pacific Rim,PG-13,"Action, Adventure, Sci-Fi",101.8,2013
35,This Is the End,R,Comedy,101.47,2013
36,Olympus Has Fallen,R,"Action, Thriller",98.93,2013
37,42,PG-13,"Biography, Drama, Sport",95.0,2013
38,Elysium,R,"Action, Drama, Sci-Fi",93.05,2013
39,Planes,PG,"Animation, Adventure, Comedy",90.29,2013
40,The Lone Ranger,PG-13,"Action, Adventure, Comedy",89.3,2013
41,Oblivion,PG-13,"Action, Adventure, Sci-Fi",89.02,2013
42,Insidious: Chapter 2,PG-13,"Horror, Mystery, Thriller",83.59,2013
43,Saving Mr. Banks,PG-13,"Biography, Comedy, Drama",83.3,2013
44,Turbo,PG,"Animation, Adventure, Comedy",83.03,2013
45,2 Guns,R,"Action, Comedy, Thriller",75.61,2013
46,White House Down,PG-13,"Action, Drama, Thriller",73.1,2013
47,Mama,PG-13,"Horror, Thriller",71.63,2013
48,Safe Haven,PG-13,"Drama, Romance, Thriller",71.35,2013
49,The Smurfs 2,PG,"Animation, Adventure, Comedy",71.02,2013
50,The Best Man Holiday,R,"Comedy, Drama",70.53,2013
1,American Sniper,R,"Action, Biography, Drama",350.13,2014
2,The Hunger Games: Mockingjay - Part 1,PG-13,"Action, Adventure, Sci-Fi",337.14,2014
3,Guardians of the Galaxy,PG-13,"Action, Adventure, Comedy",333.18,2014
4,Captain America: The Winter Soldier,PG-13,"Action, Adventure, Sci-Fi",259.77,2014
