,name,genre,gross,rating,release_year
38,The Purge: Election Year,"Action, Horror, Sci-Fi",79.21,R,2016
39,Alice Through the Looking Glass,"Adventure, Family, Fantasy",77.04,PG,2016
40,Pete's Dragon,"Action, Adventure, Comedy",76.23,PG,2016
41,The Girl on the Train,"Crime, Drama, Mystery",75.4,R,2016
42,Tyler Perry's Boo! A Madea Halloween,"Comedy, Drama, Horror",73.16,PG-13,2016
43,Storks,"Animation, Adventure, Comedy",72.68,PG,2016
44,10 Cloverfield Lane,"Drama, Horror, Mystery",72.08,PG-13,2016
45,Lights Out,"Drama, Horror, Mystery",67.27,PG-13,2016
46,Hacksaw Ridge,"Biography, Drama, History",67.21,R,2016
47,Allegiant,"Action, Adventure, Mystery",66.18,PG-13,2016
48,Now You See Me 2,"Action, Adventure, Comedy",65.08,PG-13,2016
49,Ice Age: Collision Course,"Animation, Adventure, Comedy",64.06,PG,2016
0,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",620.18,PG-13,2017
1,Beauty and the Beast,"Family, Fantasy, Musical",504.01,PG,2017
2,Wonder Woman,"Action, Adventure, Fantasy",412.56,PG-13,2017
3,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",404.52,PG-13,2017
4,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",389.81,PG-13,2017
5,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",334.2,PG-13,2017
6,It,Horror,327.48,R,2017
7,Thor: Ragnarok,"Action, Adventure, Comedy",315.06,PG-13,2017
8,Despicable Me 3,"Animation, Adventure, Comedy",264.62,PG,2017
9,Justice League,"Action, Adventure, Fantasy",229.02,PG-13,2017
10,Logan,"Action, Drama, Sci-Fi",226.28,R,2017
11,The Fate of the Furious,"Action, Adventure, Thriller",226.01,PG-13,2017
12,Coco,"Animation, Adventure, Family",209.73,PG,2017
13,Dunkirk,"Action, Drama, History",188.37,PG-13,2017
14,Get Out,"Horror, Mystery, Thriller",176.04,R,2017
15,The Lego Batman Movie,"Animation, Action, Comedy",175.75,PG,2017
16,The Boss Baby,"Animation, Adventure, Comedy",175.0,PG,2017
17,The Greatest Showman,"Biography, Drama, Musical",174.34,PG,2017
18,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",172.56,PG-13,2017
19,Kong: Skull Island,"Action, Adventure, Fantasy",168.05,PG-13,2017
20,Cars 3,"Animation, Adventure, Comedy",152.9,G,2017
21,War for the Planet of the Apes,"Action, Adventure, Drama",146.88,PG-13,2017
22,Wonder,"Drama, Family",132.42,PG,2017
23,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",130.17,PG-13,2017
24,Girls Trip,"Adventure, Comedy, Drama",115.17,R,2017
25,Fifty Shades Darker,"Drama, Romance",114.38,R,2017
26,The Upside,"Comedy, Drama",108.25,PG-13,2017
27,Baby Driver,"Action, Crime, Drama",107.83,R,2017
28,Pitch Perfect 3,"Comedy, Music",104.9,PG-13,2017
29,Daddy's Home 2,Comedy,104.03,PG-13,2017
30,Murder on the Orient Express,"Crime, Drama, Mystery",102.83,PG-13,2017
31,Annabelle: Creation,"Horror, Mystery, Thriller",102.09,R,2017
32,Kingsman: The Golden Circle,"Action, Adventure, Comedy",100.23,R,2017
33,Blade Runner 2049,"Action, Drama, Mystery",92.05,R,2017
34,John Wick: Chapter 2,"Action, Crime, Thriller",92.03,R,2017
35,The Emoji Movie,"Animation, Adventure, Comedy",86.09,PG,2017
36,Power Rangers,"Action, Adventure, Sci-Fi",85.36,PG-13,2017
37,Ferdinand,"Animation, Adventure, Comedy",84.41,PG,2017
38,The Post,"Biography, Drama, History",81.9,PG-13,2017
39,The Mummy,"Action, Adventure, Fantasy",80.1,PG-13,2017
40,The Hitman's Bodyguard,"Action, Comedy, Thriller",75.47,R,2017
41,Alien: Covenant,"Horror, Sci-Fi, Thriller",74.26,R,2017
42,Captain Underpants: The First Epic Movie,"Animation, Action, Comedy",73.92,PG,2017
43,A Bad Moms Christmas,Comedy,72.11,R,2017
44,A Dog's Purpose,"Adventure, Comedy, Drama",64.51,PG,2017
45,The Shape of Water,"Adventure, Drama, Fantasy",63.86,R,2017
46,The Lego Ninjago Movie,"Animation, Action, Adventure",59.28,PG,2017
47,Baywatch,"Action, Comedy, Crime",58.06,R,2017
48,The Shack,"Drama, Fantasy",57.33,PG-13,2017
49,Darkest Hour,"Biography, Drama, History",56.47,PG-13,2017
0,Black Panther,"Action, Adventure, Sci-Fi",700.06,PG-13,2018
1,Avengers: Infinity War,"Action, Adventure, Sci-Fi",678.82,PG-13,2018
2,Incredibles 2,"Animation, Action, Adventure",608.58,PG,2018
3,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",417.72,PG-13,2018
4,Aquaman,"Action, Adventure, Fantasy",335.06,PG-13,2018
5,Deadpool 2,"Action, Adventure, Comedy",324.59,R,2018
6,Dr. Seuss' The Grinch,"Animation, Family, Fantasy",270.62,PG,2018
7,Mission: Impossible - Fallout,"Action, Adventure, Thriller",220.16,PG-13,2018
8,Ant-Man and the Wasp,"Action, Adventure, Comedy",216.65,PG-13,2018
9,Bohemian Rhapsody,"Biography, Drama, Music",216.43,PG-13,2018
10,A Star Is Born,"Drama, Music, Romance",215.29,R,2018
11,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",213.77,PG-13,2018
12,Venom,"Action, Sci-Fi, Thriller",213.52,PG-13,2018
13,Ralph Breaks the Internet,"Animation, Adventure, Comedy",201.09,PG,2018
14,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",190.24,PG,2018
15,A Quiet Place,"Drama, Horror, Sci-Fi",188.02,PG-13,2018
16,Crazy Rich Asians,"Comedy, Drama, Romance",174.53,PG-13,2018
17,Mary Poppins Returns,"Comedy, Family, Fantasy",171.96,PG,2018
18,Hotel Transylvania 3: Summer Vacation,"Animation, Adventure, Comedy",167.51,PG,2018
19,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",159.56,PG-13,2018
20,Halloween,"Horror, Thriller",159.34,R,2018
21,The Meg,"Action, Horror, Sci-Fi",143.01,PG-13,2018
22,Ocean's 8,"Action, Comedy, Crime",140.22,PG-13,2018
23,Ready Player One,"Action, Adventure, Sci-Fi",137.69,PG-13,2018
24,Bumblebee,"Action, Adventure, Sci-Fi",127.2,PG-13,2018
25,Mamma Mia! Here We Go Again,"Comedy, Musical, Romance",120.63,PG-13,2018
26,The Nun,"Horror, Mystery, Thriller",117.45,R,2018
27,Creed II,"Drama, Sport",115.72,PG-13,2018
28,Peter Rabbit,"Animation, Adventure, Comedy",115.25,PG,2018
29,The Mule,"Crime, Drama, Thriller",103.8,R,2018
30,The Equalizer 2,"Action, Crime, Thriller",102.08,R,2018
31,Rampage,"Action, Adventure, Sci-Fi",101.03,PG-13,2018
32,A Wrinkle in Time,"Adventure, Family, Fantasy",100.48,PG,2018
33,Fifty Shades Freed,"Drama, Romance, Thriller",100.41,R,2018
34,Christopher Robin,"Adventure, Comedy, Drama",99.22,PG,2018
35,Green Book,"Biography, Comedy, Drama",85.08,PG-13,2018
36,I Can Only Imagine,"Biography, Drama, Family",83.48,PG,2018
37,Smallfoot,"Animation, Adventure, Comedy",83.24,PG,2018
38,Night School,Comedy,77.34,PG-13,2018
39,The First Purge,"Action, Horror, Sci-Fi",69.49,R,2018
40,Game Night,"Action, Comedy, Crime",69.18,R,2018
41,Book Club,"Comedy, Drama, Romance",68.57,PG-13,2018
42,The House with a Clock in Its Walls,"Comedy, Fantasy, Horror",68.55,PG,2018
43,Skyscraper,"Action, Adventure, Thriller",68.42,PG-13,2018
44,Insidious: The Last Key,"Horror, Mystery, Thriller",67.75,PG-13,2018
45,Instant Family,"Comedy, Drama",67.36,PG-13,2018
46,Pacific Rim: Uprising,"Action, Adventure, Sci-Fi",59.87,PG-13,2018
47,Blockers,Comedy,59.84,R,2018
48,Tomb Raider,"Action, Adventure, Fantasy",58.25,PG-13,2018
49,Maze Runner: The Death Cure,"Action, Sci-Fi, Thriller",58.03,PG-13,2018
0,Avengers: Endgame,"Action, Adventure, Drama",858.37,PG-13,2019
1,The Lion King,"Animation, Adventure, Drama",540.08,PG,2019
2,Toy Story 4,"Animation, Adventure, Comedy",433.03,G,2019
3,Captain Marvel,"Action, Adventure, Sci-Fi",426.83,PG-13,2019
4,Spider-Man: Far from Home,"Action, Adventure, Sci-Fi",388.53,PG-13,2019
5,Aladdin,"Adventure, Family, Fantasy",354.87,PG,2019
6,It Chapter Two,"Drama, Fantasy, Horror",193.77,R,2019
7,Joker,"Crime, Drama, Thriller",192.73,R,2019
8,Us,"Horror, Mystery, Thriller",175.01,R,2019
9,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller",171.02,R,2019
10,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure",165.55,PG-13,2019
11,How to Train Your Dragon: The Hidden World,"Animation, Action, Adventure",160.8,PG,2019
12,The Secret Life of Pets 2,"Animation, Adventure, Comedy",158.14,PG,2019
13,Pokémon Detective Pikachu,"Action, Adventure, Comedy",144.11,PG,2019
14,Shazam!,"Action, Adventure, Comedy",140.37,PG-13,2019
15,Once Upon a Time ... in Hollywood,"Comedy, Drama",135.37,R,2019
16,Dumbo,"Adventure, Family, Fantasy",114.77,PG,2019
17,Glass,"Drama, Sci-Fi, Thriller",111.04,PG-13,2019
18,Godzilla: King of the Monsters,"Action, Adventure, Fantasy",110.5,PG-13,2019
19,The Lego Movie 2: The Second Part,"Animation, Action, Adventure",105.81,PG,2019
20,Rocketman,"Biography, Drama, Music",96.37,R,2019
21,Alita: Battle Angel,"Action, Adventure, Sci-Fi",85.71,PG-13,2019
22,Hustlers,"Comedy, Crime, Drama",80.55,R,2019
23,Men in Black: International,"Action, Adventure, Comedy",79.8,PG-13,2019
24,Annabelle Comes Home,"Horror, Mystery, Thriller",73.65,R,2019
25,Yesterday,"Comedy, Fantasy, Music",73.29,PG-13,2019
26,Tyler Perry's A Madea Family Funeral,Comedy,73.26,PG-13,2019
27,Good Boys,"Adventure, Comedy",69.06,R,2019
28,Angel Has Fallen,"Action, Thriller",67.16,R,2019
29,Dark Phoenix,"Action, Adventure, Sci-Fi",65.85,PG-13,2019
30,Scary Stories to Tell in the Dark,"Horror, Mystery, Thriller",62.74,PG-13,2019
31,Escape Room,"Action, Adventure, Horror",57.01,PG-13,2019
32,Dora and the Lost City of Gold,"Adventure, Family",54.89,PG,2019
33,The Curse of La Llorona,"Horror, Mystery, Thriller",54.73,R,2019
34,Pet Sematary,"Horror, Mystery, Thriller",54.72,R,2019
35,What Men Want,"Comedy, Fantasy, Romance",54.61,R,2019
36,Isn't It Romantic,"Comedy, Fantasy, Romance",48.79,PG-13,2019
37,Five Feet Apart,"Drama, Romance",45.73,PG-13,2019
38,Ma,"Horror, Thriller",45.37,R,2019
39,Wonder Park,"Animation, Adventure, Comedy",45.22,PG,2019
40,A Dog's Way Home,"Adventure, Drama, Family",41.95,PG,2019
41,Breakthrough,"Biography, Drama",40.71,PG,2019
42,Little,"Comedy, Fantasy, Romance",40.67,PG-13,2019
43,Crawl,"Action, Drama, Horror",39.01,R,2019
44,The Angry Birds Movie 2,"Animation, Adventure, Comedy",38.44,PG,2019
45,Maleficent: Mistress of Evil,"Adventure, Family, Fantasy",36.95,PG,2019
46,The Intruder,"Drama, Horror, Mystery",35.42,PG-13,2019
47,The Hustle,"Comedy, Crime",35.42,PG-13,2019
48,Ad Astra,"Adventure, Drama, Mystery",35.4,PG-13,2019
49,Cold Pursuit,"Action, Crime, Drama",32.14,R,2019
